,0
gender_1,0.02967440527885687
gender_2,0.026198238929315703
income,0.2716606759696181
income_bin_1,0.01707037470533494
income_bin_2,0.024874933292347707
income_bin_3,0.01296408714523569
income_bin_4,0.007500047511085616
total_purchase,0.19129308733848924
num_of_purchases,0.09778672081638273
average_purchase,0.08093806812668472
location_1,0.02746020916803921
location_2,0.018191577587310704
location_3,0.03441136641255918
marital_status_1,0.041045418774537795
marital_status_2,0.03661492378564482
education_1,0.018148067503658584
education_2,0.0009346691975730774
education_3,0.009096602053483626
education_4,0.006869056322110199
subscription_plan_1,0.025049046449973095
subscription_plan_2,0.00904890184292837
subscription_plan_3,0.013169521788829996
